model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
attention_lstm,BTC,1d,0,0.10027845203876495,0.10594340413808823,0.009156566759490337,2.99
attention_lstm,BTC,1d,1,0.10410726070404053,0.10849087685346603,0.00915487254500321,1.53
attention_lstm,BTC,1d,2,0.10003639757633209,0.10847543925046921,0.009152049318664127,2.23
attention_lstm,BTC,1d,3,0.10477034002542496,0.1080905944108963,0.009148097777061936,2.39
attention_lstm,BTC,1d,4,0.09613295644521713,0.10542727261781693,0.009143018895180403,2.29
attention_lstm,BTC,1d,5,0.10013353824615479,0.10440601408481598,0.009136813926157634,2.22
attention_lstm,BTC,1d,6,0.10107126832008362,0.10643745958805084,0.00912948440097689,2.22
attention_lstm,BTC,1d,7,0.09973008930683136,0.10491825640201569,0.009121032128088834,2.29
attention_lstm,BTC,1d,8,0.09860008209943771,0.10338805615901947,0.009111459192965327,2.25
attention_lstm,BTC,1d,9,0.10084870457649231,0.10592518001794815,0.009100767957584868,2.27
attention_lstm,BTC,1d,10,0.10241265594959259,0.10134392976760864,0.00908896105984981,3.15
attention_lstm,BTC,1d,11,0.099528968334198,0.0774831622838974,0.009076041412935502,2.23
attention_lstm,BTC,1d,12,0.09921527653932571,0.010303131304681301,0.009062012204571495,2.37
attention_lstm,BTC,1d,13,0.10467561334371567,0.011462392285466194,0.009046876896255033,2.23
attention_lstm,BTC,1d,14,0.10469243675470352,0.03224537521600723,0.009030639222396965,1.42
attention_lstm,BTC,1d,15,0.09962310642004013,0.003185279667377472,0.009013303189400348,2.03
attention_lstm,BTC,1d,16,0.10705629736185074,0.0006324235000647604,0.00899487307467192,2.35
attention_lstm,BTC,1d,17,0.10376943647861481,0.002167819067835808,0.008975353425566714,2.25
attention_lstm,BTC,1d,18,0.10373342782258987,0.0006401923601515591,0.008954749058266065,2.17
attention_lstm,BTC,1d,19,0.10130494832992554,0.0006470890366472304,0.0089330650565893,2.14
attention_lstm,BTC,1d,20,0.10222895443439484,0.0006510638631880283,0.008910306770739363,2.87
attention_lstm,BTC,1d,21,0.10313925892114639,0.0006331868353299797,0.008886479815982751,2.19
attention_lstm,BTC,1d,22,0.10157667100429535,0.061829883605241776,0.00886159007126402,2.16
attention_lstm,BTC,1d,23,0.10335488617420197,0.08520243316888809,0.008835643677755241,2.18
attention_lstm,BTC,1d,24,0.10221213102340698,0.10539080202579498,0.008808647037340774,2.16
attention_lstm,BTC,1d,25,0.10201692581176758,0.1058875247836113,0.00878060681103768,2.12
attention_lstm,BTC,1d,26,0.09799005836248398,0.10386479645967484,0.008751529917352225,2.07
attention_lstm,BTC,1d,27,0.10273221135139465,0.09179934859275818,0.008721423530572838,2.11
attention_lstm,BTC,1d,28,0.10615744441747665,0.10044078528881073,0.008690295078999965,2.14
attention_lstm,BTC,1d,29,0.10062240064144135,0.09128522127866745,0.008658152243113247,1.5
attention_lstm,BTC,1d,30,0.10250025242567062,0.09390522539615631,0.008625002953676478,3.2
attention_lstm,BTC,1d,31,0.09625422209501266,0.09230167418718338,0.008590855389780798,2.09
