model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
gru,BTC,1d,0,0.2475973516702652,0.15265807509422302,0.008589708092253677,0.91
gru,BTC,1d,1,0.10406000167131424,0.11319270730018616,0.008588118773530124,0.57
gru,BTC,1d,2,0.09686502069234848,0.12741106748580933,0.008585470344706247,0.56
gru,BTC,1d,3,0.10374363511800766,0.11711440980434418,0.008581763459242229,0.54
gru,BTC,1d,4,0.10045202076435089,0.0763755664229393,0.008576999031756589,0.56
gru,BTC,1d,5,0.0973808541893959,0.07126383483409882,0.00857117823780052,0.54
gru,BTC,1d,6,0.10029695928096771,0.06393982470035553,0.00856430251356783,0.54
gru,BTC,1d,7,0.09270504862070084,0.0797300785779953,0.00855637355554059,0.58
gru,BTC,1d,8,0.10058599710464478,0.07071011513471603,0.00854739332007055,0.55
gru,BTC,1d,9,0.09896938502788544,0.10177935659885406,0.00853736402289644,0.56
gru,BTC,1d,10,0.09876331686973572,0.07973848283290863,0.008526288138597264,0.64
gru,BTC,1d,11,0.09522633999586105,0.09104271233081818,0.008514168399981741,0.54
gru,BTC,1d,12,0.10148322582244873,0.11025553941726685,0.008501007797414023,0.54
gru,BTC,1d,13,0.10017991065979004,0.11139360815286636,0.00848680957807587,0.51
gru,BTC,1d,14,0.09360800683498383,0.10347612202167511,0.008471577245165446,0.54
gru,BTC,1d,15,0.09441616386175156,0.08426874130964279,0.008455314557032974,0.48
gru,BTC,1d,16,0.09612840414047241,0.09895934909582138,0.008438025526253405,0.52
gru,BTC,1d,17,0.09876637160778046,0.1238180473446846,0.008419714418636384,0.53
gru,BTC,1d,18,0.10270078480243683,0.11817051470279694,0.00840038575217372,0.51
gru,BTC,1d,19,0.09947260469198227,0.09556908160448074,0.008380044295924642,0.51
gru,BTC,1d,20,0.09916943311691284,0.11646249890327454,0.008358695068839102,0.68
gru,BTC,1d,21,0.09795892983675003,0.11252323538064957,0.00833634333851943,0.54
