model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
lstm,BTC,1d,0,0.12213274836540222,0.10097964853048325,0.004479723718442678,1.28
lstm,BTC,1d,1,0.09917079657316208,0.09867053478956223,0.004478894941939055,3.38
lstm,BTC,1d,2,0.10146690905094147,0.10336072742938995,0.004477513874977332,0.6
lstm,BTC,1d,3,0.09907037764787674,0.09168778359889984,0.004475580858315114,0.53
lstm,BTC,1d,4,0.1017022430896759,0.11672563850879669,0.00447309636889534,0.51
lstm,BTC,1d,5,0.10062194615602493,0.10536859184503555,0.004470061019728597,0.53
lstm,BTC,1d,6,0.09622059762477875,0.1069299727678299,0.0044664755597418745,0.53
lstm,BTC,1d,7,0.09842861443758011,0.08369710296392441,0.004462340873593772,0.54
lstm,BTC,1d,8,0.09828923642635345,0.06731383502483368,0.004457657981456229,0.53
lstm,BTC,1d,9,0.09433820098638535,0.07355907559394836,0.004452428038762809,0.54
lstm,BTC,1d,10,0.09463215619325638,0.07014739513397217,0.004446652335923614,0.69
lstm,BTC,1d,11,0.08755061775445938,0.07354556024074554,0.004440332298006897,0.5
lstm,BTC,1d,12,0.09087707102298737,0.07353834807872772,0.004433469484387443,0.54
lstm,BTC,1d,13,0.09179060161113739,0.06789963692426682,0.0044260655883618235,0.5
lstm,BTC,1d,14,0.08117145299911499,0.0673210546374321,0.004418122436730595,0.57
lstm,BTC,1d,15,0.08956659585237503,0.06845328211784363,0.004409641989347568,0.62
lstm,BTC,1d,16,0.09006694704294205,0.07240792363882065,0.0044006263386362375,0.51
lstm,BTC,1d,17,0.08634370565414429,0.0752367153763771,0.004391077709073513,0.51
lstm,BTC,1d,18,0.09310619533061981,0.07692399621009827,0.0043809984566408585,0.5
lstm,BTC,1d,19,0.08978419005870819,0.08766419440507889,0.004370391068242995,0.58
lstm,BTC,1d,20,0.09169118106365204,0.07806437462568283,0.004359258161094286,0.82
lstm,BTC,1d,21,0.09289386868476868,0.08766254037618637,0.0043476024820729865,0.49
lstm,BTC,1d,22,0.09270276874303818,0.08823934942483902,0.004335426907043487,0.5
lstm,BTC,1d,23,0.0933908224105835,0.07919122278690338,0.004322734440146738,0.51
