model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
cnn_lstm,BTC,1d,0,0.10131349414587021,0.10136093199253082,0.0004366314032622151,1.6
cnn_lstm,BTC,1d,1,0.10104265064001083,0.1001582071185112,0.00043305502891124564,1.33
cnn_lstm,BTC,1d,2,0.10174094140529633,0.09984859079122543,0.00042713795818000356,1.41
cnn_lstm,BTC,1d,3,0.10029992461204529,0.09942510724067688,0.0004189450197336469,4.63
cnn_lstm,BTC,1d,4,0.10113885253667831,0.09876616299152374,0.0004085659771202768,1.49
cnn_lstm,BTC,1d,5,0.10031990706920624,0.09850622713565826,0.0003961145453027193,1.38
cnn_lstm,BTC,1d,6,0.10015013813972473,0.09699755162000656,0.00038172714477359735,1.44
cnn_lstm,BTC,1d,7,0.0997929498553276,0.09740856289863586,0.0003655614069038652,1.35
cnn_lstm,BTC,1d,8,0.09933067858219147,0.09670582413673401,0.00034779444690052165,1.36
cnn_lstm,BTC,1d,9,0.09946182370185852,0.09633340686559677,0.0003286209232953388,1.35
