model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
gru,BTC,1d,0,0.10124926269054413,0.10042372345924377,0.00918288193843231,2.26
gru,BTC,1d,1,0.10100439935922623,0.05119845271110535,0.009107502048891901,2.01
gru,BTC,1d,2,0.10092692822217941,0.0013308331836014986,0.008982786878064522,2.02
gru,BTC,1d,3,0.1012907475233078,0.0006758737727068365,0.008810102831460082,2.08
gru,BTC,1d,4,0.09897835552692413,0.0006748291780240834,0.008591341871629644,2.05
gru,BTC,1d,5,0.06876659393310547,0.0006744741112925112,0.00832890078942778,4.66
gru,BTC,1d,6,0.01806805096566677,0.0006746508879587054,0.008025654944270422,2.11
gru,BTC,1d,7,0.0019483689684420824,0.0006752979243174195,0.007684926761095389,2.11
gru,BTC,1d,8,0.0011462782276794314,0.0006763431010767817,0.0073104493291795,2.13
gru,BTC,1d,9,0.0011454250197857618,0.0006776831578463316,0.0069063255016312665,2.05
gru,BTC,1d,10,0.0011444493429735303,0.0006792091298848391,0.006476982943673657,2.32
gru,BTC,1d,11,0.0011434447951614857,0.0006808481412008405,0.006027125622217358,2.06
gru,BTC,1d,12,0.0011424858821555972,0.0006825845339335501,0.005561682268214943,2.08
gru,BTC,1d,13,0.0011416280176490545,0.000684453989379108,0.005085752376453148,2.02
