model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
lstm,BTC,1d,0,0.10259316116571426,0.10116070508956909,0.0001932772866620279,2.51
lstm,BTC,1d,1,0.10168415307998657,0.09970136731863022,0.00019169876052469578,2.03
lstm,BTC,1d,2,0.10090021044015884,0.09935177862644196,0.000189087106964666,2.02
lstm,BTC,1d,3,0.10140444338321686,0.09881728142499924,0.00018547093980486584,1.94
lstm,BTC,1d,4,0.10142991691827774,0.09915413707494736,0.00018088987852942986,1.94
lstm,BTC,1d,5,0.10174540430307388,0.09826648980379105,0.0001753941142043403,1.97
lstm,BTC,1d,6,0.10081380605697632,0.0986701026558876,0.00016904385957360548,1.95
lstm,BTC,1d,7,0.10056015104055405,0.09942665696144104,0.00016190868935583597,4.48
lstm,BTC,1d,8,0.10143868625164032,0.099470354616642,0.000154066777969068,2.0
lstm,BTC,1d,9,0.1014929711818695,0.09981176257133484,0.00014560404303548048,1.9
