model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
transformer,BTC,1d,0,0.4157743453979492,0.42796656489372253,4.650098831769216e-05,1.86
transformer,BTC,1d,1,0.28994256258010864,0.1607419103384018,9.300197663538433e-05,1.4
transformer,BTC,1d,2,0.16173496842384338,0.10733666270971298,0.0001395029649530765,1.4
transformer,BTC,1d,3,0.1282522976398468,0.10339338332414627,0.00018600395327076865,1.4
transformer,BTC,1d,4,0.12124903500080109,0.10284758359193802,0.00023250494158846081,1.4
transformer,BTC,1d,5,0.11679165065288544,0.10149478167295456,0.000279005929906153,1.41
transformer,BTC,1d,6,0.11552100628614426,0.10185495018959045,0.00032550691822384514,4.76
transformer,BTC,1d,7,0.1135718896985054,0.10139162093400955,0.0003720079065415373,1.42
transformer,BTC,1d,8,0.11296486854553223,0.10151122510433197,0.00041850889485922947,1.42
transformer,BTC,1d,9,0.11032339185476303,0.10093197971582413,0.00046500988317692163,1.47
