epoch,grad_norm_max,grad_norm_mean,loss_dir,loss_huber,loss_mse,lr-Adam,step,test_loss,train_loss,val_loss
,,,,,,0.001,0,,,
0,0.08881567418575287,0.02312898077070713,,,,,9,,,
0,0.043423842638731,0.01246310118585825,,,,,19,,,
0,0.10202163457870483,0.02374940738081932,,,,,29,,,
0,0.2165713608264923,0.07541146874427795,,,,,39,,,
0,0.19661083817481995,0.07514698803424835,,,,,49,,,
0,0.29031628370285034,0.07945941388607025,,,,,59,,,
0,,,,,,,63,,,0.4286554157733917
0,,,0.5219095349311829,0.010320269502699375,0.02064053900539875,,63,,0.11779823899269104,
,,,,,,0.0009999383779245895,64,,,
1,,,,,,,127,,,0.4069194793701172
1,,,0.5498945116996765,0.015981566160917282,0.031963132321834564,,127,,0.1307549774646759,
,,,,,,0.000999753526902683,128,,,
2,,,,,,,191,,,0.4346838891506195
2,,,0.5646932721138,0.019836019724607468,0.039672039449214935,,191,,0.13872548937797546,
,,,,,,0.0009994454925435043,192,,,
3,,,,,,,255,,,0.4146718978881836
3,,,0.5346109867095947,0.015404202975332737,0.030808405950665474,,255,,0.12694762647151947,
,,,,,,0.000999014350849922,256,,,
4,,,,,,,319,,,0.3761698305606842
4,,,0.5380078554153442,0.015330224297940731,0.030660448595881462,,319,,0.12753087282180786,
,,,,,,0.0009984602081996978,320,,,
5,,,,,,,383,,,0.3779493570327759
5,,,0.5316905379295349,0.01014858577400446,0.02029717154800892,,383,,0.11953128129243851,
,,,,,,0.0009977832013192388,384,,,
6,,,,,,,447,,,0.3653701841831207
6,,,0.5280740857124329,0.009607067331671715,0.01921413466334343,,447,,0.11810402572154999,
,,,,,,0.0009969834972498627,448,,,
7,,,,,,,511,,,0.3162860870361328
7,,,0.5277823805809021,0.00820370763540268,0.01640741527080536,,511,,0.11622130125761032,
,,,,,,0.000996061293306582,512,,,
8,,,,,,,575,,,0.3200749456882477
8,,,0.5299221277236938,0.00725515466183424,0.01451030932366848,,575,,0.11541611701250076,
,,,,,,0.0009950168170294207,576,,,
9,,,,,,,639,,,0.2882772386074066
9,,,0.5311709046363831,0.006856545340269804,0.013713090680539608,,639,,0.11514770239591599,
,,,,,,0.0009938503261272716,640,,,
10,0.05945144593715668,0.011975666508078575,,,,,649,,,
10,0.12800413370132446,0.02736382745206356,,,,,659,,,
10,0.05739063769578934,0.012121738865971565,,,,,669,,,
10,0.31479787826538086,0.08911948651075363,,,,,679,,,
10,0.08578155934810638,0.02212897129356861,,,,,689,,,
10,0.232863187789917,0.0702621191740036,,,,,699,,,
10,,,,,,,703,,,0.27379095554351807
10,,,0.5355343222618103,0.006015148479491472,0.012030296958982944,,703,,0.11492658406496048,
,,,,,,0.0009925621084143099,704,,,
11,,,,,,,767,,,0.25808703899383545
11,,,0.5043646097183228,0.005095070227980614,0.010190140455961227,,767,,0.10749650746583939,
,,,,,,0.0009911524817389804,768,,,
12,,,,,,,831,,,0.23350949585437775
12,,,0.5322751402854919,0.004889012314379215,0.00977802462875843,,831,,0.11281077563762665,
,,,,,,0.0009896217939055723,832,,,
13,,,,,,,895,,,0.22652339935302734
13,,,0.5128614902496338,0.005037595983594656,0.010075191967189312,,895,,0.1091211810708046,
,,,,,,0.0009879704225884047,896,,,
14,,,,,,,959,,,0.21187621355056763
14,,,0.5156589150428772,0.0036568769719451666,0.007313753943890333,,959,,0.1078856959939003,
,,,,,,0.0009861987752386398,960,,,
15,,,,,,,1023,,,0.19061018526554108
15,,,0.5157856345176697,0.003720357548445463,0.007440715096890926,,1023,,0.10799362510442734,
,,,,,,0.0009843072889837514,1024,,,
16,,,,,,,1087,,,0.18248972296714783
16,,,0.5275918245315552,0.0030508446507155895,0.006101689301431179,,1087,,0.10948446393013,
,,,,,,0.0009822964305196704,1088,,,
17,,,,,,,1151,,,0.15725302696228027
17,,,0.5100014209747314,0.002591432072222233,0.005182864144444466,,1151,,0.10536915063858032,
,,,,,,0.0009801666959956333,1152,,,
18,,,,,,,1215,,,0.15542419254779816
18,,,0.5123687982559204,0.0027659183833748102,0.0055318367667496204,,1215,,0.10606946051120758,
,,,,,,0.0009779186108917661,1216,,,
19,,,,,,,1279,,,0.15573127567768097
